운동 이름,유/무산소,운동 부위,도구,단체유무,장소,나이,비만도,성별,상장,운동순서,순위
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,2단계비만,F,1등급,본운동,4
밴드 걸고 앉아서 발등 굽힘,무산소,"하체,종아리",밴드,개인,실내,20대,2단계비만,F,1등급,본운동,3
밴드 걸고 누워서 다리 들어올리기,무산소,"하체,허벅지",밴드,개인,실내,20대,2단계비만,F,1등급,본운동,2
밴드 걸고 옆으로 누워 다리 올리기,무산소,"하체,옆구리,허벅지",밴드,개인,실내,20대,2단계비만,F,1등급,본운동,1
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,20대,2단계비만,F,1등급,준비운동,5
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,20대,2단계비만,F,1등급,준비운동,4
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,20대,2단계비만,F,1등급,준비운동,3
어깨 스트레칭,유산소,어깨,없음,개인,실내,20대,2단계비만,F,1등급,준비운동,2
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,20대,2단계비만,F,1등급,준비운동,1
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,1단계비만,M,1등급,마무리운동,5
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,20대,1단계비만,M,1등급,마무리운동,4
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,1단계비만,M,1등급,마무리운동,3
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,1단계비만,M,1등급,마무리운동,2
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,20대,1단계비만,M,1등급,마무리운동,1
턱걸이,무산소,"팔,상체,가슴",철봉,개인,실내,20대,1단계비만,M,1등급,본운동,5
뒤로 팔굽혀펴기,무산소,"팔,상체,복부",없음,개인,실내,20대,1단계비만,M,1등급,본운동,4
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,1단계비만,M,1등급,본운동,3
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,20대,1단계비만,M,1등급,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,1단계비만,M,1등급,본운동,1
목 스트레칭,유산소,목,없음,개인,실내,20대,1단계비만,M,1등급,준비운동,5
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,1단계비만,M,1등급,준비운동,4
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,20대,1단계비만,M,1등급,준비운동,3
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,1단계비만,M,1등급,준비운동,2
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,1단계비만,M,1등급,준비운동,1
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,20대,1단계비만,F,1등급,마무리운동,5
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,20대,1단계비만,F,1등급,마무리운동,4
목 스트레칭,유산소,목,없음,개인,실내,20대,1단계비만,F,1등급,마무리운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,20대,1단계비만,F,1등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,1단계비만,F,1등급,마무리운동,1
짐볼에서 윗몸 일으키기,무산소,"상체,복부,허리",볼,개인,실내,20대,1단계비만,F,1등급,본운동,5
밴드 걸고 앉아서 발등 굽힘,무산소,"하체,종아리",밴드,개인,실내,20대,1단계비만,F,1등급,본운동,4
밴드 걸고 옆으로 누워 다리 올리기,무산소,"하체,옆구리,허벅지",밴드,개인,실내,20대,1단계비만,F,1등급,본운동,3
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,20대,1단계비만,F,1등급,본운동,2
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,1단계비만,F,1등급,본운동,1
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,20대,1단계비만,F,1등급,준비운동,5
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,20대,1단계비만,F,1등급,준비운동,4
어깨 스트레칭,유산소,어깨,없음,개인,실내,20대,1단계비만,F,1등급,준비운동,3
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,20대,1단계비만,F,1등급,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,1단계비만,F,1등급,준비운동,1
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,20대,비만전단계비만,M,1등급,마무리운동,5
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,20대,비만전단계비만,M,1등급,마무리운동,4
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,20대,비만전단계비만,M,1등급,마무리운동,3
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,비만전단계비만,M,1등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,비만전단계비만,M,1등급,마무리운동,1
서서 균형잡기,유산소,하체,없음,개인,실내,20대,비만전단계비만,M,1등급,본운동,5
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,20대,비만전단계비만,M,1등급,본운동,4
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,비만전단계비만,M,1등급,본운동,3
계단 뛰어 오르기,유산소,"전신,하체,허벅지",계단,개인,실내,20대,비만전단계비만,M,1등급,본운동,2
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,비만전단계비만,M,1등급,본운동,1
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,20대,비만전단계비만,M,1등급,준비운동,5
허리 스트레칭,유산소,허리,없음,개인,실내,20대,비만전단계비만,M,1등급,준비운동,4
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,비만전단계비만,M,1등급,준비운동,3
목 스트레칭,유산소,목,없음,개인,실내,20대,비만전단계비만,M,1등급,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,비만전단계비만,M,1등급,준비운동,1
목 스트레칭,유산소,목,없음,개인,실내,20대,비만전단계비만,F,1등급,마무리운동,5
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,20대,비만전단계비만,F,1등급,마무리운동,4
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,비만전단계비만,F,1등급,마무리운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,20대,비만전단계비만,F,1등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,비만전단계비만,F,1등급,마무리운동,1
밴드 걸고 옆으로 누워 다리 올리기,무산소,"하체,옆구리,허벅지",밴드,개인,실내,20대,비만전단계비만,F,1등급,본운동,5
짐볼에서 윗몸 일으키기,무산소,"상체,복부,허리",볼,개인,실내,20대,비만전단계비만,F,1등급,본운동,4
밴드 걸고 누워서 다리 들어올리기,무산소,"하체,허벅지",밴드,개인,실내,20대,비만전단계비만,F,1등급,본운동,3
계단 뛰어 오르기,유산소,"전신,하체,허벅지",계단,개인,실내,20대,비만전단계비만,F,1등급,본운동,2
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,비만전단계비만,F,1등급,본운동,1
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,20대,비만전단계비만,F,1등급,준비운동,5
어깨 스트레칭,유산소,어깨,없음,개인,실내,20대,비만전단계비만,F,1등급,준비운동,4
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,20대,비만전단계비만,F,1등급,준비운동,3
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,비만전단계비만,F,1등급,준비운동,2
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,비만전단계비만,F,1등급,준비운동,1
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,저체중,M,1등급,마무리운동,5
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,20대,저체중,M,1등급,마무리운동,4
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,저체중,M,1등급,마무리운동,3
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,20대,저체중,M,1등급,마무리운동,2
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,저체중,M,1등급,마무리운동,1
바벨 끌어당기기,무산소,"팔,상체",바벨,개인,실내,20대,저체중,M,1등급,본운동,5
한발 앞으로 내밀고 앉았다 일어서기,무산소,"하체,허벅지,종아리",없음,개인,실내,20대,저체중,M,1등급,본운동,4
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,20대,저체중,M,1등급,본운동,3
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,저체중,M,1등급,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,저체중,M,1등급,본운동,1
가슴/어깨 앞쪽 스트레칭,무산소,"가슴,어깨,상체",없음,개인,실내,20대,저체중,M,1등급,준비운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,저체중,M,1등급,준비운동,4
목 스트레칭,유산소,목,없음,개인,실내,20대,저체중,M,1등급,준비운동,3
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,저체중,M,1등급,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,저체중,M,1등급,준비운동,1
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,20대,저체중,F,1등급,마무리운동,5
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,저체중,F,1등급,마무리운동,4
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,20대,저체중,F,1등급,마무리운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,20대,저체중,F,1등급,마무리운동,1
밴드 걸고 옆으로 누워 다리 올리기,무산소,"하체,옆구리,허벅지",밴드,개인,실내,20대,저체중,F,1등급,본운동,5
밴드 걸고 앉아서 발등 굽힘,무산소,"하체,종아리",밴드,개인,실내,20대,저체중,F,1등급,본운동,4
밴드 걸고 누워서 다리 들어올리기,무산소,"하체,허벅지",밴드,개인,실내,20대,저체중,F,1등급,본운동,3
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,저체중,F,1등급,본운동,2
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,저체중,F,1등급,본운동,1
어깨 스트레칭,유산소,어깨,없음,개인,실내,20대,저체중,F,1등급,준비운동,5
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,20대,저체중,F,1등급,준비운동,4
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,20대,저체중,F,1등급,준비운동,3
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,저체중,F,1등급,준비운동,2
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,저체중,F,1등급,준비운동,1
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,20대,정상,M,1등급,마무리운동,5
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,20대,정상,M,1등급,마무리운동,4
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,정상,M,1등급,마무리운동,3
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,정상,M,1등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,정상,M,1등급,마무리운동,1
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,정상,M,1등급,본운동,5
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,20대,정상,M,1등급,본운동,4
달리기,유산소,"전신,허벅지",없음,개인,야외,20대,정상,M,1등급,본운동,3
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,정상,M,1등급,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,정상,M,1등급,본운동,1
목 스트레칭,유산소,목,없음,개인,실내,20대,정상,M,1등급,준비운동,5
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,20대,정상,M,1등급,준비운동,3
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,정상,M,1등급,준비운동,2
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,정상,M,1등급,준비운동,1
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,20대,정상,F,1등급,마무리운동,5
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,20대,정상,F,1등급,마무리운동,4
목 스트레칭,유산소,목,없음,개인,실내,20대,정상,F,1등급,마무리운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,20대,정상,F,1등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,정상,F,1등급,마무리운동,1
짐볼에서 윗몸 일으키기,무산소,"상체,복부,허리",볼,개인,실내,20대,정상,F,1등급,본운동,5
밴드 걸고 옆으로 누워 다리 올리기,무산소,"하체,옆구리,허벅지",밴드,개인,실내,20대,정상,F,1등급,본운동,4
밴드 걸고 누워서 다리 들어올리기,무산소,"하체,허벅지",밴드,개인,실내,20대,정상,F,1등급,본운동,3
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,20대,정상,F,1등급,본운동,2
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,정상,F,1등급,본운동,1
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,20대,정상,F,1등급,준비운동,5
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,20대,정상,F,1등급,준비운동,4
어깨 스트레칭,유산소,어깨,없음,개인,실내,20대,정상,F,1등급,준비운동,3
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,20대,정상,F,1등급,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,정상,F,1등급,준비운동,1
탄력밴드 어깨 가쪽 돌림,무산소,"상체,어깨",밴드,개인,실내,20대,정상,F,3등급,준비운동,4
옆구리늘리기,유산소,"상체,복부,어깨,팔",없음,개인,실내,20대,정상,F,3등급,준비운동,5
달리기,유산소,"전신,허벅지",없음,개인,야외,20대,정상,F,3등급,본운동,1
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,정상,F,3등급,본운동,2
계단 뛰어 오르기,유산소,"전신,하체,허벅지",계단,개인,실내,20대,정상,F,3등급,본운동,3
턱걸이,무산소,"팔,상체,가슴",철봉,개인,실내,20대,정상,F,3등급,본운동,4
네발기기 자세로 팔 다리 들기,유산소,"허리,등,허벅지",없음,개인,실내,20대,정상,F,3등급,본운동,5
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,정상,F,3등급,마무리운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,정상,F,3등급,마무리운동,2
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,정상,F,3등급,마무리운동,3
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,20대,정상,F,3등급,마무리운동,4
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,20대,정상,F,3등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,20대,정상,M,1등급,준비운동,4
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,정상,M,2등급,준비운동,1
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,20대,정상,M,2등급,준비운동,2
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,정상,M,2등급,준비운동,3
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,20대,정상,M,2등급,준비운동,4
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,정상,M,2등급,준비운동,5
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,정상,M,2등급,본운동,1
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,정상,M,2등급,본운동,2
달리기,유산소,"전신,허벅지",없음,개인,야외,20대,정상,M,2등급,본운동,3
밴드 잡고 누워서 다리 밀기,무산소,"다리,허벅지",밴드,개인,실내,20대,정상,M,2등급,본운동,4
목봉잡고 앉았다 일어나기,무산소,"하체,허벅지,종아리",막대,개인,실내,20대,정상,M,2등급,본운동,5
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,정상,M,2등급,마무리운동,1
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,정상,M,2등급,마무리운동,2
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,20대,정상,M,2등급,마무리운동,3
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,정상,M,2등급,마무리운동,4
어깨 양 옆으로 돌리기,유산소,어깨,없음,개인,실내,20대,정상,M,2등급,마무리운동,5
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,정상,M,3등급,준비운동,1
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,20대,정상,M,3등급,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,정상,M,3등급,준비운동,3
짐볼을 이용한 동적 루틴 스트레칭,무산소,"허리,옆구리",볼,개인,실내,20대,정상,M,3등급,준비운동,4
목 스트레칭,유산소,목,없음,개인,실내,20대,정상,M,3등급,준비운동,5
달리기,유산소,"전신,허벅지",없음,개인,야외,20대,정상,M,3등급,본운동,1
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,정상,M,3등급,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,정상,M,3등급,본운동,3
턱걸이,무산소,"팔,상체,가슴",철봉,개인,실내,20대,정상,M,3등급,본운동,4
누워서 엉덩이 들어올리기,무산소,"등,허리,엉덩이",없음,개인,실내,20대,정상,M,3등급,본운동,5
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,정상,M,3등급,마무리운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,정상,M,3등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,정상,M,3등급,마무리운동,3
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,정상,M,3등급,마무리운동,4
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,20대,정상,M,3등급,마무리운동,5
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,20대,정상,F,참가증,준비운동,3
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,정상,F,참가증,준비운동,4
목 스트레칭,유산소,목,없음,개인,실내,20대,정상,F,참가증,준비운동,5
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,정상,F,참가증,본운동,1
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,정상,F,참가증,본운동,2
달리기,유산소,"전신,허벅지",없음,개인,야외,20대,정상,F,참가증,본운동,3
계단 뛰어 오르기,유산소,"전신,하체,허벅지",계단,개인,실내,20대,정상,F,참가증,본운동,4
볼 튕기면서 스쿼트,유산소,"허벅지,상체",볼,단체,실내,20대,정상,F,참가증,본운동,5
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,정상,F,참가증,마무리운동,1
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,정상,F,참가증,마무리운동,2
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,정상,F,참가증,마무리운동,3
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,20대,정상,F,참가증,마무리운동,4
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,정상,F,참가증,마무리운동,5
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,정상,M,참가증,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,정상,M,참가증,준비운동,2
목 스트레칭,유산소,목,없음,개인,실내,20대,정상,M,참가증,준비운동,3
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,20대,정상,M,참가증,준비운동,4
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,정상,M,참가증,준비운동,5
달리기,유산소,"전신,허벅지",없음,개인,야외,20대,정상,M,참가증,본운동,3
목 스트레칭,유산소,목,없음,개인,실내,20대,저체중,F,1등급,마무리운동,2
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,저체중,F,2등급,준비운동,1
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,저체중,F,2등급,준비운동,2
가슴/어깨 앞쪽 스트레칭,무산소,"가슴,어깨,상체",없음,개인,실내,20대,저체중,F,2등급,준비운동,3
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,저체중,F,2등급,준비운동,4
서서 팔꿈치 펴기,유산소,팔,없음,개인,실내,20대,저체중,F,2등급,준비운동,5
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,저체중,F,2등급,본운동,1
볼 튕기면서 스쿼트,유산소,"허벅지,상체",볼,단체,실내,20대,저체중,F,2등급,본운동,2
바벨들어올리기,무산소,"전신,허벅지,가슴,팔,어깨",바벨,개인,실내,20대,저체중,F,2등급,본운동,3
서서 바벨 위로 밀기,무산소,"상체,어깨,팔,가슴",바벨,개인,실내,20대,저체중,F,2등급,본운동,4
밴드 잡고 누워서 다리 밀기,무산소,"다리,허벅지",밴드,개인,실내,20대,저체중,F,2등급,본운동,5
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,20대,저체중,F,2등급,마무리운동,1
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,저체중,F,2등급,마무리운동,2
상체 앞으로 숙이기,유산소,허벅지,없음,개인,실내,20대,저체중,F,2등급,마무리운동,3
네발 걷기,유산소,"허벅지,등",없음,개인,실내,20대,저체중,F,2등급,마무리운동,4
맨몸운동  루틴프로그램,무산소,"전신,상체,복부,팔",없음,개인,실내,20대,저체중,F,2등급,마무리운동,5
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,저체중,F,3등급,준비운동,1
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,저체중,F,3등급,준비운동,2
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,20대,저체중,F,3등급,준비운동,3
허리 스트레칭,유산소,허리,없음,개인,실내,20대,저체중,F,3등급,준비운동,4
옆구리늘리기,유산소,"상체,복부,어깨,팔",없음,개인,실내,20대,저체중,F,3등급,준비운동,5
계단 뛰어 오르기,유산소,"전신,하체,허벅지",계단,개인,실내,20대,저체중,F,3등급,본운동,1
턱걸이,무산소,"팔,상체,가슴",철봉,개인,실내,20대,저체중,F,3등급,본운동,2
네발기기 자세로 팔 다리 들기,유산소,"허리,등,허벅지",없음,개인,실내,20대,저체중,F,3등급,본운동,3
네발기기 자세에서 다리 위로 뻗어올리기,유산소,"엉덩이,등,복부",밴드,개인,실내,20대,저체중,F,3등급,본운동,4
누워서 배가로근 수축 II,무산소,"하체,허벅지,종아리,복부,엉덩이",없음,개인,실내,20대,저체중,F,3등급,본운동,5
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,저체중,F,3등급,마무리운동,1
목 스트레칭,유산소,목,없음,개인,실내,20대,저체중,F,3등급,마무리운동,2
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,20대,저체중,F,3등급,마무리운동,3
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,20대,저체중,F,3등급,마무리운동,4
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,저체중,F,3등급,마무리운동,5
목 스트레칭,유산소,목,없음,개인,실내,20대,저체중,M,3등급,준비운동,1
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,저체중,M,3등급,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,저체중,M,3등급,준비운동,3
짐볼을 이용한 동적 루틴 스트레칭,무산소,"허리,옆구리",볼,개인,실내,20대,저체중,M,3등급,준비운동,4
허리 스트레칭,유산소,허리,없음,개인,실내,20대,저체중,M,3등급,준비운동,5
달리기,유산소,"전신,허벅지",없음,개인,야외,20대,저체중,M,3등급,본운동,1
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,저체중,F,참가증,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,저체중,F,참가증,준비운동,2
목 스트레칭,유산소,목,없음,개인,실내,20대,저체중,F,참가증,준비운동,3
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,저체중,F,참가증,준비운동,4
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,저체중,F,참가증,준비운동,5
볼 튕기면서 스쿼트,유산소,"허벅지,상체",볼,단체,실내,20대,저체중,F,참가증,본운동,1
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,저체중,F,참가증,본운동,2
한발 앞으로 내밀고 앉았다 일어서기,무산소,"하체,허벅지,종아리",없음,개인,실내,20대,저체중,F,참가증,본운동,3
바벨 끌어당기기,무산소,"팔,상체",바벨,개인,실내,20대,저체중,F,참가증,본운동,4
서서 바벨 위로 밀기,무산소,"상체,어깨,팔,가슴",바벨,개인,실내,20대,저체중,F,참가증,본운동,5
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,저체중,F,참가증,마무리운동,1
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,저체중,F,참가증,마무리운동,2
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,저체중,F,참가증,마무리운동,3
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,20대,저체중,F,참가증,마무리운동,4
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,20대,저체중,F,참가증,마무리운동,5
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,저체중,M,2등급,준비운동,1
